Rank,Team,Game Count,Scoring Differential,Opponent Differential Per Game,Strength of Schedule,Wins,Winning %,Rank Value,Average PPG,Average Opp PPG,Kenpom Rank,Seed,Region
1,North Carolina,34,14.29,4.12,24,27,79.41%,8.60,84.91,70.62,3,1,South
2,Villanova,34,14.88,2.89,59,31,91.18%,8.60,77.68,62.79,2,1,East
3,Kentucky,34,14.35,3.42,41,29,85.29%,8.58,85.94,71.59,4,2,South
4,Kansas,32,10.34,4.44,16,28,87.50%,8.53,82.72,72.38,10,1,Midwest
5,Arizona,34,10.82,3.63,35,30,88.24%,8.51,76.26,65.44,20,2,West
6,Duke,35,10.83,4.76,9,27,77.14%,8.48,80.66,69.83,12,2,East
7,Louisville,32,11.69,5.52,3,24,75.00%,8.46,77.53,65.84,6,2,Midwest
8,Florida,32,11.72,4.44,15,24,75.00%,8.42,78.28,66.56,9,4,East
9,Baylor,32,10.00,5.10,7,25,78.13%,8.40,72.72,62.72,13,3,East
10,Oregon,34,14.06,2.65,68,29,85.29%,8.40,79.09,65.03,16,3,Midwest
11,Purdue,32,12.97,3.06,54,25,78.13%,8.35,80.13,67.16,15,4,Midwest
12,Florida State,33,11.18,3.64,34,25,75.76%,8.31,82.45,71.27,350,3,West
13,West Virginia,34,15.65,2.48,77,26,76.47%,8.27,81.97,66.32,5,4,West
14,Cincinnati,34,13.65,2.23,92,29,85.29%,8.25,74.47,60.82,22,6,South
15,Saint Mary's (CA),32,15.50,1.87,116,28,87.50%,8.24,72.00,56.50,350,7,West
16,Southern Methodist,34,14.71,1.86,117,30,88.24%,8.22,74.53,59.82,350,6,East
17,Virginia,32,10.97,4.50,14,22,68.75%,8.19,66.59,55.63,7,5,East
18,Gonzaga,33,23.42,1.19,166,32,96.97%,8.06,84.58,61.15,1,1,West
19,Iowa State,33,8.88,4.61,11,23,69.70%,8.03,80.88,72.00,350,5,Midwest
20,Notre Dame,34,8.79,4.13,23,25,73.53%,8.02,78.00,69.21,25,5,West
21,Butler,31,7.90,4.24,22,23,74.19%,7.96,76.29,68.39,26,4,South
22,Wisconsin,34,10.53,2.85,62,25,73.53%,7.94,71.94,61.41,23,8,East
23,UCLA,33,15.03,1.13,170,29,87.88%,7.93,90.36,75.33,18,3,South
24,Michigan,35,9.26,3.91,27,24,68.57%,7.93,74.80,65.54,21,7,Midwest
25,Creighton,34,9.62,2.25,91,25,73.53%,7.72,82.12,72.50,27,6,Midwest
26,Middle Tennessee,34,11.71,0.94,190,30,88.24%,7.70,75.03,63.32,48,12,South
27,Virginia Commonwealth,34,8.26,2.08,102,26,76.47%,7.64,74.68,66.41,350,10,West
